Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Saint-LÃƒÂ©olin VL (1315017) 00000 (  3.9%),"Saint-Léolin VL (CSD, NB)",42400,8480,21200,33920,50880,"<= $8,480","$8,480 - $21,200","$21,200 - $33,920","$33,920 - $50,880",">= $50,881",1060,212,530,848,1272,<= $212,$212 - $530,$530 - $848,"$848 - $1,272",">= $1,273"
  Paquetville P (1315019) 00000 (  3.8%),"Paquetville P (CSD, NB)",48800,9760,24400,39040,58560,"<= $9,760","$9,760 - $24,400","$24,400 - $39,040","$39,040 - $58,560",">= $58,561",1220,244,610,976,1464,<= $244,$244 - $610,$610 - $976,"$976 - $1,464",">= $1,465"
  Paquetville VL (1315020) 00000 (  2.4%),"Paquetville VL (CSD, NB)",60400,12080,30200,48320,72480,"<= $12,080","$12,080 - $30,200","$30,200 - $48,320","$48,320 - $72,480",">= $72,481",1510,302,755,1208,1812,<= $302,$302 - $755,"$755 - $1,208","$1,208 - $1,812",">= $1,813"
  Saint-Isidore P (1315021) 00000 (  3.2%),"Saint-Isidore P (CSD, NB)",47600,9520,23800,38080,57120,"<= $9,520","$9,520 - $23,800","$23,800 - $38,080","$38,080 - $57,120",">= $57,121",1190,238,595,952,1428,<= $238,$238 - $595,$595 - $952,"$952 - $1,428",">= $1,429"
  Saint-Isidore VL (1315022) 00000 (  1.1%),"Saint-Isidore VL (CSD, NB)",67000,13400,33500,53600,80400,"<= $13,400","$13,400 - $33,500","$33,500 - $53,600","$53,600 - $80,400",">= $80,401",1675,335,837.5,1340,2010,<= $335,$335 - $838,"$838 - $1,340","$1,340 - $2,010",">= $2,011"
  Inkerman P (1315024) 00000 (  5.0%),"Inkerman P (CSD, NB)",63200,12640,31600,50560,75840,"<= $12,640","$12,640 - $31,600","$31,600 - $50,560","$50,560 - $75,840",">= $75,841",1580,316,790,1264,1896,<= $316,$316 - $790,"$790 - $1,264","$1,264 - $1,896",">= $1,897"
  Caraquet P (1315026) 00000 (  2.0%),"Caraquet P (CSD, NB)",66500,13300,33250,53200,79800,"<= $13,300","$13,300 - $33,250","$33,250 - $53,200","$53,200 - $79,800",">= $79,801",1662.5,332.5,831.25,1330,1995,<= $333,$333 - $831,"$831 - $1,330","$1,330 - $1,995",">= $1,996"
  Bas-Caraquet VL (1315027) 00000 (  2.7%),"Bas-Caraquet VL (CSD, NB)",58400,11680,29200,46720,70080,"<= $11,680","$11,680 - $29,200","$29,200 - $46,720","$46,720 - $70,080",">= $70,081",1460,292,730,1168,1752,<= $292,$292 - $730,"$730 - $1,168","$1,168 - $1,752",">= $1,753"
  Caraquet TV (1315028) 00000 (  2.6%),"Caraquet TV (CSD, NB)",65500,13100,32750,52400,78600,"<= $13,100","$13,100 - $32,750","$32,750 - $52,400","$52,400 - $78,600",">= $78,601",1637.5,327.5,818.75,1310,1965,<= $328,$328 - $819,"$819 - $1,310","$1,310 - $1,965",">= $1,966"
  Shippagan P (1315029) 00000 (  4.0%),"Shippagan P (CSD, NB)",59200,11840,29600,47360,71040,"<= $11,840","$11,840 - $29,600","$29,600 - $47,360","$47,360 - $71,040",">= $71,041",1480,296,740,1184,1776,<= $296,$296 - $740,"$740 - $1,184","$1,184 - $1,776",">= $1,777"
  Le Goulet VL (1315030) 00000 (  2.5%),"Le Goulet VL (CSD, NB)",71000,14200,35500,56800,85200,"<= $14,200","$14,200 - $35,500","$35,500 - $56,800","$56,800 - $85,200",">= $85,201",1775,355,887.5,1420,2130,<= $355,$355 - $888,"$888 - $1,420","$1,420 - $2,130",">= $2,131"
  Shippagan TV (1315031) 00000 (  3.1%),"Shippagan TV (CSD, NB)",66500,13300,33250,53200,79800,"<= $13,300","$13,300 - $33,250","$33,250 - $53,200","$53,200 - $79,800",">= $79,801",1662.5,332.5,831.25,1330,1995,<= $333,$333 - $831,"$831 - $1,330","$1,330 - $1,995",">= $1,996"
  LamÃƒÂ¨que TV (1315032) 00000 (  0.7%),"Lamèque TV (CSD, NB)",58800,11760,29400,47040,70560,"<= $11,760","$11,760 - $29,400","$29,400 - $47,040","$47,040 - $70,560",">= $70,561",1470,294,735,1176,1764,<= $294,$294 - $735,"$735 - $1,176","$1,176 - $1,764",">= $1,765"
  Sainte-Marie-Saint-RaphaÃƒÂ«l VL (1315033) 00000 (  3.1%),"Sainte-Marie-Saint-Raphaël VL (CSD, NB)",56400,11280,28200,45120,67680,"<= $11,280","$11,280 - $28,200","$28,200 - $45,120","$45,120 - $67,680",">= $67,681",1410,282,705,1128,1692,<= $282,$282 - $705,"$705 - $1,128","$1,128 - $1,692",">= $1,693"
  Bertrand VL (1315036) 00000 (  5.8%),"Bertrand VL (CSD, NB)",58000,11600,29000,46400,69600,"<= $11,600","$11,600 - $29,000","$29,000 - $46,400","$46,400 - $69,600",">= $69,601",1450,290,725,1160,1740,<= $290,$290 - $725,"$725 - $1,160","$1,160 - $1,740",">= $1,741"
  Nigadoo VL (1315037) 00000 (  1.8%),"Nigadoo VL (CSD, NB)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,2055,<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Grande-Anse VL (1315038) 00000 (  7.6%),"Grande-Anse VL (CSD, NB)",59600,11920,29800,47680,71520,"<= $11,920","$11,920 - $29,800","$29,800 - $47,680","$47,680 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$298 - $745,"$745 - $1,192","$1,192 - $1,788",">= $1,789"
  Maisonnette VL (1315040) 00000 (  9.7%),"Maisonnette VL (CSD, NB)",40800,8160,20400,32640,48960,"<= $8,160","$8,160 - $20,400","$20,400 - $32,640","$32,640 - $48,960",">= $48,961",1020,204,510,816,1224,<= $204,$204 - $510,$510 - $816,"$816 - $1,224",">= $1,225"
  Nunavut (62) 02020 ( 21.9%),Nunavut (Province),118000,23600,59000,94400,141600,"<= $23,600","$23,600 - $59,000","$59,000 - $94,400","$94,400 - $141,600",">= $141,601",2950,590,1475,2360,3540,<= $590,"$590 - $1,475","$1,475 - $2,360","$2,360 - $3,540",">= $3,541"
    Sanikiluaq HAM (6204001) 00000 (  7.0%),"Sanikiluaq HAM (CSD, NU)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,2520,<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
    Iqaluit CY (6204003) 01010 ( 18.3%),"Iqaluit CY (CSD, NU)",157000,31400,78500,125600,188400,"<= $31,400","$31,400 - $78,500","$78,500 - $125,600","$125,600 - $188,400",">= $188,401",3925,785,1963,3140,4710,<= $785,"$785 - $1,963","$1,963 - $3,140","$3,140 - $4,710",">= $4,711"
    Kimmirut HAM (6204005) 01010 ( 13.8%),"Kimmirut HAM (CSD, NU)",91000,18200,45500,72800,109200,"<= $18,200","$18,200 - $45,500","$45,500 - $72,800","$72,800 - $109,200",">= $109,201",2275,455,1138,1820,2730,<= $455,"$455 - $1,138","$1,138 - $1,820","$1,820 - $2,730",">= $2,731"
    Cape Dorset HAM (6204007) 02020 ( 21.3%),"Cape Dorset HAM (CSD, NU)",90000,18000,45000,72000,108000,"<= $18,000","$18,000 - $45,000","$45,000 - $72,000","$72,000 - $108,000",">= $108,001",2250,450,1125,1800,2700,<= $450,"$450 - $1,125","$1,125 - $1,800","$1,800 - $2,700",">= $2,701"
    Pangnirtung HAM (6204009) 05050 ( 60.6%),"Pangnirtung HAM (CSD, NU)",102000,20400,51000,81600,122400,"<= $20,400","$20,400 - $51,000","$51,000 - $81,600","$81,600 - $122,400",">= $122,401",2550,510,1275,2040,3060,<= $510,"$510 - $1,275","$1,275 - $2,040","$2,040 - $3,060",">= $3,061"
    Qikiqtarjuaq HAM (6204010) 03030 ( 39.6%),"Qikiqtarjuaq HAM (CSD, NU)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1038,1660,2490,<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
    Hall Beach HAM (6204011) 01010 ( 14.7%),"Hall Beach HAM (CSD, NU)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1088,1740,2610,<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
    Igloolik HAM (6204012) 02030 ( 31.0%),"Igloolik HAM (CSD, NU)",89000,17800,44500,71200,106800,"<= $17,800","$17,800 - $44,500","$44,500 - $71,200","$71,200 - $106,800",">= $106,801",2225,445,1113,1780,2670,<= $445,"$445 - $1,113","$1,113 - $1,780","$1,780 - $2,670",">= $2,671"
    Clyde River HAM (6204015) 02020 ( 22.5%),"Clyde River HAM (CSD, NU)",100000,20000,50000,80000,120000,"<= $20,000","$20,000 - $50,000","$50,000 - $80,000","$80,000 - $120,000",">= $120,001",2500,500,1250,2000,3000,<= $500,"$500 - $1,250","$1,250 - $2,000","$2,000 - $3,000",">= $3,001"
    Arctic Bay HAM (6204018) 00000 (  2.3%),"Arctic Bay HAM (CSD, NU)",103000,20600,51500,82400,123600,"<= $20,600","$20,600 - $51,500","$51,500 - $82,400","$82,400 - $123,600",">= $123,601",2575,515,1288,2060,3090,<= $515,"$515 - $1,288","$1,288 - $2,060","$2,060 - $3,090",">= $3,091"
    Nanisivik SET (6204019) 09999 (  0.0%),"Nanisivik SET (CSD, NU)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
    Pond Inlet HAM (6204020) 05050 ( 51.8%),"Pond Inlet HAM (CSD, NU)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1238,1980,2970,<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
    Resolute HAM (6204022) 01919 ( 13.6%),"Resolute HAM (CSD, NU)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
    Grise Fiord HAM (6204025) 01919 ( 15.5%),"Grise Fiord HAM (CSD, NU)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
"    Qikiqtaaluk, Unorganized NO (6204030) 09999 (  0.0%)","Qikiqtaaluk, Unorganized NO (CSD, NU)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
    Coral Harbour HAM (6205014) 02020 ( 22.7%),"Coral Harbour HAM (CSD, NU)",105000,21000,52500,84000,126000,"<= $21,000","$21,000 - $52,500","$52,500 - $84,000","$84,000 - $126,000",">= $126,001",2625,525,1313,2100,3150,<= $525,"$525 - $1,313","$1,313 - $2,100","$2,100 - $3,150",">= $3,151"
    Arviat HAM (6205015) 01010 ( 19.6%),"Arviat HAM (CSD, NU)",107000,21400,53500,85600,128400,"<= $21,400","$21,400 - $53,500","$53,500 - $85,600","$85,600 - $128,400",">= $128,401",2675,535,1338,2140,3210,<= $535,"$535 - $1,338","$1,338 - $2,140","$2,140 - $3,210",">= $3,211"
    Whale Cove HAM (6205016) 01010 ( 18.1%),"Whale Cove HAM (CSD, NU)",96000,19200,48000,76800,115200,"<= $19,200","$19,200 - $48,000","$48,000 - $76,800","$76,800 - $115,200",">= $115,201",2400,480,1200,1920,2880,<= $480,"$480 - $1,200","$1,200 - $1,920","$1,920 - $2,880",">= $2,881"
    Rankin Inlet HAM (6205017) 01010 ( 15.4%),"Rankin Inlet HAM (CSD, NU)",140000,28000,70000,112000,168000,"<= $28,000","$28,000 - $70,000","$70,000 - $112,000","$112,000 - $168,000",">= $168,001",3500,700,1750,2800,4200,<= $700,"$700 - $1,750","$1,750 - $2,800","$2,800 - $4,200",">= $4,201"
    Chesterfield Inlet HAM (6205019) 01010 ( 12.1%),"Chesterfield Inlet HAM (CSD, NU)",97000,19400,48500,77600,116400,"<= $19,400","$19,400 - $48,500","$48,500 - $77,600","$77,600 - $116,400",">= $116,401",2425,485,1213,1940,2910,<= $485,"$485 - $1,213","$1,213 - $1,940","$1,940 - $2,910",">= $2,911"
    Baker Lake HAM (6205023) 01010 ( 15.9%),"Baker Lake HAM (CSD, NU)",105000,21000,52500,84000,126000,"<= $21,000","$21,000 - $52,500","$52,500 - $84,000","$84,000 - $126,000",">= $126,001",2625,525,1313,2100,3150,<= $525,"$525 - $1,313","$1,313 - $2,100","$2,100 - $3,150",">= $3,151"
    Naujaat HAM (6205027) 01010 ( 13.5%),"Naujaat HAM (CSD, NU)",102000,20400,51000,81600,122400,"<= $20,400","$20,400 - $51,000","$51,000 - $81,600","$81,600 - $122,400",">= $122,401",2550,510,1275,2040,3060,<= $510,"$510 - $1,275","$1,275 - $2,040","$2,040 - $3,060",">= $3,061"
"    Kivalliq, Unorganized NO (6205033) 09999 (  0.0%)","Kivalliq, Unorganized NO (CSD, NU)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
    Kugaaruk HAM (6208047) 01020 ( 21.0%),"Kugaaruk HAM (CSD, NU)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1238,1980,2970,<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
    Kugluktuk HAM (6208059) 01020 ( 27.2%),"Kugluktuk HAM (CSD, NU)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1038,1660,2490,<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
    Bathurst Inlet SET (6208065) 09999 (  0.0%),"Bathurst Inlet SET (CSD, NU)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
    Umingmaktok SET (6208068) 09999 (  0.0%),"Umingmaktok SET (CSD, NU)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
    Cambridge Bay HAM (6208073) 01010 ( 11.6%),"Cambridge Bay HAM (CSD, NU)",128000,25600,64000,102400,153600,"<= $25,600","$25,600 - $64,000","$64,000 - $102,400","$102,400 - $153,600",">= $153,601",3200,640,1600,2560,3840,<= $640,"$640 - $1,600","$1,600 - $2,560","$2,560 - $3,840",">= $3,841"
    Gjoa Haven HAM (6208081) 01030 ( 34.2%),"Gjoa Haven HAM (CSD, NU)",100000,20000,50000,80000,120000,"<= $20,000","$20,000 - $50,000","$50,000 - $80,000","$80,000 - $120,000",">= $120,001",2500,500,1250,2000,3000,<= $500,"$500 - $1,250","$1,250 - $2,000","$2,000 - $3,000",">= $3,001"
    Taloyoak HAM (6208087) 02030 ( 30.0%),"Taloyoak HAM (CSD, NU)",93000,18600,46500,74400,111600,"<= $18,600","$18,600 - $46,500","$46,500 - $74,400","$74,400 - $111,600",">= $111,601",2325,465,1163,1860,2790,<= $465,"$465 - $1,163","$1,163 - $1,860","$1,860 - $2,790",">= $2,791"
"    Kitikmeot, Unorganized NO (6208098) 09999 (  0.0%)","Kitikmeot, Unorganized NO (CSD, NU)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
  Northwest Territories (61) 00010 ( 10.8%),Northwest Territories (Province),127000,25400,63500,101600,152400,"<= $25,400","$25,400 - $63,500","$63,500 - $101,600","$101,600 - $152,400",">= $152,401",3175,635,1588,2540,3810,<= $635,"$635 - $1,588","$1,588 - $2,540","$2,540 - $3,810",">= $3,811"
    Tsiigehtchic CC (6101010) 05959 ( 93.2%),"Tsiigehtchic CC (CSD, NT)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
    Paulatuk HAM (6101014) 01010 ( 14.8%),"Paulatuk HAM (CSD, NT)",107000,21400,53500,85600,128400,"<= $21,400","$21,400 - $53,500","$53,500 - $85,600","$85,600 - $128,400",">= $128,401",2675,535,1338,2140,3210,<= $535,"$535 - $1,338","$1,338 - $2,140","$2,140 - $3,210",">= $3,211"
    Fort McPherson HAM (6101015) 00000 (  8.6%),"Fort McPherson HAM (CSD, NT)",70500,14100,35250,56400,84600,"<= $14,100","$14,100 - $35,250","$35,250 - $56,400","$56,400 - $84,600",">= $84,601",1763,353,881,1410,2115,<= $353,$353 - $881,"$881 - $1,410","$1,410 - $2,115",">= $2,116"
    Inuvik T (6101017) 01010 ( 14.1%),"Inuvik T (CSD, NT)",119000,23800,59500,95200,142800,"<= $23,800","$23,800 - $59,500","$59,500 - $95,200","$95,200 - $142,800",">= $142,801",2975,595,1488,2380,3570,<= $595,"$595 - $1,488","$1,488 - $2,380","$2,380 - $3,570",">= $3,571"
    Aklavik HAM (6101025) 00000 (  6.9%),"Aklavik HAM (CSD, NT)",55200,11040,27600,44160,66240,"<= $11,040","$11,040 - $27,600","$27,600 - $44,160","$44,160 - $66,240",">= $66,241",1380,276,690,1104,1656,<= $276,$276 - $690,"$690 - $1,104","$1,104 - $1,656",">= $1,657"
    Tuktoyaktuk HAM (6101036) 00010 ( 18.2%),"Tuktoyaktuk HAM (CSD, NT)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,2400,<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
    Sachs Harbour HAM (6101041) 02929 ( 26.3%),"Sachs Harbour HAM (CSD, NT)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
"    Region 1, Unorganized NO (6101063) 09999 (  0.0%)","Region 1, Unorganized NO (CSD, NT)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
    Ulukhaktok HAM (6101095) 01010 ( 17.2%),"Ulukhaktok HAM (CSD, NT)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,2400,<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
    Déline CC (6102003) 02020 ( 25.3%),"Déline CC (CSD, NT)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1238,1980,2970,<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
    Tulita HAM (6102005) 01020 ( 20.1%),"Tulita HAM (CSD, NT)",103000,20600,51500,82400,123600,"<= $20,600","$20,600 - $51,500","$51,500 - $82,400","$82,400 - $123,600",">= $123,601",2575,515,1288,2060,3090,<= $515,"$515 - $1,288","$1,288 - $2,060","$2,060 - $3,090",">= $3,091"
    Norman Wells T (6102007) 02020 ( 22.3%),"Norman Wells T (CSD, NT)",157000,31400,78500,125600,188400,"<= $31,400","$31,400 - $78,500","$78,500 - $125,600","$125,600 - $188,400",">= $188,401",3925,785,1963,3140,4710,<= $785,"$785 - $1,963","$1,963 - $3,140","$3,140 - $4,710",">= $4,711"
    Fort Good Hope CC (6102009) 00000 (  9.7%),"Fort Good Hope CC (CSD, NT)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,2580,<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
    Colville Lake SET (6102012) 00909 (  0.0%),"Colville Lake SET (CSD, NT)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
"    Region 2, Unorganized NO (6102063) 09999 (  0.0%)","Region 2, Unorganized NO (CSD, NT)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
    Behchokò CG (6103031) 01010 ( 17.2%),"Behchokò CG (CSD, NT)",115000,23000,57500,92000,138000,"<= $23,000","$23,000 - $57,500","$57,500 - $92,000","$92,000 - $138,000",">= $138,001",2875,575,1438,2300,3450,<= $575,"$575 - $1,438","$1,438 - $2,300","$2,300 - $3,450",">= $3,451"
    Whatì CG (6103034) 01010 ( 11.2%),"Whatì CG (CSD, NT)",109000,21800,54500,87200,130800,"<= $21,800","$21,800 - $54,500","$54,500 - $87,200","$87,200 - $130,800",">= $130,801",2725,545,1363,2180,3270,<= $545,"$545 - $1,363","$1,363 - $2,180","$2,180 - $3,270",">= $3,271"
    Gamètì CG (6103049) 02020 ( 29.3%),"Gamètì CG (CSD, NT)",116000,23200,58000,92800,139200,"<= $23,200","$23,200 - $58,000","$58,000 - $92,800","$92,800 - $139,200",">= $139,201",2900,580,1450,2320,3480,<= $580,"$580 - $1,450","$1,450 - $2,320","$2,320 - $3,480",">= $3,481"
    Wekweètì CG (6103052) 02929 ( 24.1%),"Wekweètì CG (CSD, NT)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
"    Region 3, Unorganized NO (6103097) 09999 (  0.0%)","Region 3, Unorganized NO (CSD, NT)",,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1,0,0,0,0,0,<= $,$ - $,$ - $,$ - $,>= $1
