,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH
,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI
Geography,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status
  Alix VL (4808034) 00000 (  6.0%),85,0,30,30,0,0,140,0,20,20,20,70,45,0,0,0,0,0,45,0,0,0,0,20,45,0,0,0,0,35
  Ponoka County MD (4808038) 00000 (  6.9%),545,25,260,140,70,45,1220,0,180,275,325,430,395,0,50,60,95,190,385,0,0,40,75,265,355,0,0,20,65,265
  Ponoka T (4808039) 00000 (  7.5%),1025,30,505,230,140,120,1055,0,105,215,290,440,395,0,20,80,55,245,335,0,0,25,40,265,235,0,0,0,50,180
  Parkland Beach SV (4808042) 02929 ( 21.1%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Rimbey T (4808044) 00010 ( 10.7%),400,0,170,65,95,70,395,0,0,105,110,175,115,0,0,0,30,70,95,0,0,0,0,90,65,0,0,0,0,55
  Clearwater County MD (4809002) 00010 ( 14.3%),830,65,375,185,105,105,1735,15,275,295,555,600,500,0,35,95,55,300,450,0,0,40,90,300,320,0,0,15,40,250
  Burnstick Lake SV (4809005) 09999 (  7.7%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Caroline VL (4809010) 00010 ( 12.1%),90,0,50,25,0,0,85,0,0,20,25,35,0,0,0,0,0,0,25,0,0,0,0,20,0,0,0,0,0,0
  Rocky Mountain House T (4809015) 00000 (  6.6%),790,20,370,190,120,90,915,0,115,230,245,330,350,0,20,35,80,215,350,0,0,20,60,260,260,0,0,25,40,185
  Camrose County MD (4810001) 00000 (  6.3%),550,30,225,165,95,35,1095,0,140,255,320,375,355,0,20,40,95,200,325,0,0,45,40,230,260,0,0,25,55,170
  Bashaw T (4810002) 00010 ( 10.0%),150,0,35,55,25,30,160,0,0,35,55,70,0,0,0,0,0,0,35,0,0,0,0,25,30,0,0,0,0,20
  Rosalind VL (4810003) 00909 (  5.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Edberg VL (4810006) 00909 (  7.7%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Bawlf VL (4810009) 00000 (  2.3%),40,0,0,0,0,0,65,0,0,30,20,0,40,0,0,0,0,25,0,0,0,0,0,0,20,0,0,0,0,0
  Camrose CY (4810011) 00000 (  3.8%),2565,35,1260,595,425,255,3015,0,195,695,785,1340,975,0,50,135,205,585,870,0,0,45,160,660,545,0,0,20,85,425
  Bittern Lake VL (4810012) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Hay Lakes VL (4810014) 00010 ( 13.0%),45,0,25,0,0,0,55,0,0,20,20,20,30,0,0,0,0,30,30,0,0,0,0,20,0,0,0,0,0,0
  Beaver County MD (4810016) 00000 (  6.6%),430,50,185,105,60,30,740,0,95,175,150,300,190,0,15,25,35,115,235,0,0,0,35,180,190,0,0,35,30,120
  Tofield T (4810018) 00010 ( 10.2%),190,0,95,60,30,0,290,0,35,95,85,80,130,0,0,20,60,50,100,0,0,0,30,70,80,0,0,0,0,60
  Ryley VL (4810019) 00000 (  7.4%),100,0,40,25,0,25,75,0,0,20,20,25,25,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0
  Holden VL (4810021) 00000 (  9.3%),90,0,20,35,20,25,65,0,0,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Viking T (4810022) 00000 (  4.8%),155,0,55,30,45,35,150,0,0,50,30,70,65,0,0,0,0,50,20,0,0,0,0,15,20,0,0,0,0,15
  Minburn County No. 27 MD (4810026) 00000 (  8.0%),220,0,120,40,35,20,310,0,35,65,65,140,65,0,0,0,0,30,100,0,0,0,0,70,80,0,0,0,0,65
  Vegreville T (4810028) 00000 (  5.0%),870,0,405,190,190,70,835,0,35,170,195,425,315,0,0,45,95,160,230,0,0,30,35,165,180,0,0,0,20,150
  Innisfree VL (4810031) 00929 ( 20.8%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Mannville VL (4810034) 00000 (  8.0%),110,0,50,30,25,0,145,0,15,20,40,65,50,0,0,0,15,25,30,0,0,0,0,25,25,0,0,0,0,15
  Vermilion River County MD (4810036) 00000 (  8.2%),430,55,185,100,60,30,900,20,100,240,195,350,305,0,0,50,75,165,390,0,15,50,90,235,235,0,0,15,75,130
  Paradise Valley VL (4810038) 00929 ( 25.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Lloydminster (Part) CY (4810039) 00000 (  5.9%),2000,115,950,490,255,190,2415,0,325,565,600,910,1140,0,80,175,285,595,1180,0,40,100,220,825,735,0,0,40,145,530
  Kitscoty VL (4810041) 00010 ( 10.3%),55,0,30,0,0,0,100,0,0,25,35,35,30,0,0,0,0,0,70,0,0,0,35,20,55,0,0,0,0,30
  Vermilion T (4810042) 00000 (  6.4%),595,25,275,145,115,35,590,0,45,105,185,260,175,0,0,0,55,105,180,0,0,20,0,145,125,0,0,0,25,85
  Marwayne VL (4810044) 00000 (  5.2%),65,0,30,20,0,0,80,0,0,0,20,40,55,0,0,0,20,30,20,0,0,0,0,20,0,0,0,0,0,0
  Two Hills County No. 21 MD (4810048) 00010 ( 12.3%),220,15,120,25,30,25,310,0,30,95,75,115,80,0,0,0,25,50,70,0,0,0,15,50,135,0,0,0,45,90
  Myrnam VL (4810051) 00909 (  7.4%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Two Hills T (4810052) 00000 (  8.4%),145,0,60,35,30,20,125,0,0,0,35,65,30,0,0,0,0,0,45,0,0,0,20,15,105,0,0,25,30,55
  Lamont County MD (4810058) 00000 (  9.8%),265,0,135,60,20,45,495,0,50,130,120,185,150,0,0,20,40,85,140,0,0,0,45,75,100,0,0,0,0,85
  Andrew VL (4810059) 00010 ( 14.6%),90,0,25,20,0,0,70,0,0,0,20,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Mundare T (4810061) 00010 ( 13.9%),95,0,40,0,0,25,145,0,0,30,55,55,25,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0
  Chipman VL (4810062) 00919 ( 17.2%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Lamont T (4810064) 00000 (  9.4%),225,0,90,55,50,0,220,0,20,50,60,95,60,0,0,0,0,40,75,0,0,0,0,65,85,0,0,0,25,50
  Bruderheim T (4810066) 00000 (  6.6%),105,0,55,0,25,0,175,0,50,25,50,50,120,0,15,0,20,70,70,0,0,0,0,45,30,0,0,0,0,30
  Improvement District No. 13 Elk Island ID (4810068) 09999 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Wetaskiwin County No. 10 MD (4811001) 00010 ( 10.6%),820,25,360,215,140,80,1680,30,230,400,405,610,425,0,30,40,100,260,425,0,0,75,105,225,335,0,0,40,85,205
  Wetaskiwin CY (4811002) 00000 (  4.1%),1670,20,705,420,315,215,1715,0,95,445,435,735,670,0,45,70,180,375,605,0,0,35,95,460,410,0,10,20,70,310
  Argentia Beach SV (4811003) 09999 ( 50.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Grandview SV (4811004) 02939 ( 37.5%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Poplar Bay SV (4811005) 02949 ( 47.1%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Crystal Springs SV (4811006) 02939 ( 30.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Norris Beach SV (4811007) 02919 ( 11.1%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Ma-Me-O Beach SV (4811008) 02949 ( 41.2%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Silver Beach SV (4811009) 02959 ( 50.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Millet T (4811011) 00000 (  5.7%),225,0,105,65,35,0,320,0,25,65,80,155,110,0,0,0,40,55,55,0,0,0,0,45,70,0,0,0,0,55
  Leduc County MD (4811012) 00000 (  9.2%),845,130,385,165,80,85,1750,40,330,370,405,595,665,0,60,115,130,355,760,0,25,70,150,515,555,0,0,60,130,345
  Beaumont CY (4811013) 00000 (  4.4%),860,125,315,240,125,65,2120,25,320,555,635,580,1255,0,120,265,365,510,1605,0,75,250,535,750,970,0,25,125,265,555
  Leduc CY (4811016) 00000 (  5.0%),2775,80,1250,765,490,195,4430,0,530,1150,1220,1525,2175,0,150,340,615,1065,2065,0,65,270,580,1145,1275,0,20,75,255,920
  Devon T (4811018) 00000 (  1.9%),535,30,225,150,85,55,885,0,135,190,240,315,425,0,20,55,120,230,390,0,0,65,90,230,220,0,0,25,65,130
  Calmar T (4811019) 00000 (  3.2%),265,0,100,80,50,25,270,0,30,65,70,100,190,0,0,0,25,140,120,0,0,15,20,65,60,0,0,0,0,45
  Sundance Beach SV (4811020) 04999 ( 60.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Thorsby T (4811021) 00010 ( 12.9%),120,0,50,40,0,0,135,0,0,35,45,50,60,0,0,0,0,40,30,0,0,0,0,25,40,0,0,0,0,30
  Itaska Beach SV (4811022) 09999 ( 50.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Golden Days SV (4811023) 02919 ( 14.8%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Warburg VL (4811024) 00010 ( 12.9%),55,0,30,0,0,0,140,0,0,50,35,65,20,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,20
  Breton VL (4811026) 00000 (  6.2%),105,0,50,25,0,15,105,0,0,30,25,50,20,0,0,0,0,20,30,0,0,0,0,30,0,0,0,0,0,0
  Drayton Valley T (4811031) 00000 (  8.7%),800,30,380,205,115,65,1025,0,130,190,260,435,395,0,25,75,65,220,375,0,0,40,90,245,270,0,0,25,55,195
  Brazeau County MD (4811032) 00000 (  9.1%),535,45,245,135,60,55,1055,0,165,200,290,385,345,0,45,25,90,185,375,0,0,30,75,255,265,0,0,30,60,160
  Parkland County MD (4811034) 00000 (  6.8%),1880,195,885,430,205,170,4710,60,835,1190,1185,1440,1615,0,110,260,455,795,1785,0,85,145,410,1135,1260,0,20,70,285,885
  Seba Beach SV (4811038) 04949 ( 41.7%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Betula Beach SV (4811039) 09999 ( 33.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Point Alison SV (4811041) 09999 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Lakeview SV (4811042) 09999 ( 50.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Kapasiwin SV (4811044) 09999 ( 75.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Spring Lake VL (4811046) 00000 (  5.3%),55,0,0,0,0,0,125,0,15,25,45,30,35,0,0,0,0,20,60,0,0,15,20,20,0,0,0,0,0,0
  Stony Plain T (4811048) 00000 (  4.2%),1810,55,860,485,260,155,2635,0,300,630,685,1020,990,0,75,140,230,545,970,0,40,65,190,675,585,0,0,25,100,445
  Spruce Grove CY (4811049) 00000 (  2.7%),2960,245,1210,740,550,210,4915,25,665,1175,1425,1620,2390,0,240,360,650,1130,2480,0,55,230,610,1585,1340,0,40,130,265,895
  Strathcona County SM (4811052) 00000 (  2.2%),6805,715,2805,1915,825,545,13900,95,1995,3475,3965,4365,5765,35,355,890,1690,2805,6360,0,170,560,1515,4100,3430,0,85,265,775,2310
  Fort Saskatchewan CY (4811056) 00000 (  3.7%),2340,155,1010,590,380,210,3645,0,475,875,1025,1260,1680,0,140,290,460,780,1725,0,40,125,470,1090,880,0,25,65,205,585
  Sturgeon County MD (4811059) 00000 (  9.1%),950,125,380,285,90,75,2475,0,365,625,675,805,990,0,45,160,280,490,1195,0,50,170,300,680,825,0,35,120,205,470
  Edmonton CY (4811061) 00000 (  5.6%),108685,4350,45220,29220,20160,9735,121290,770,14375,25490,32020,48635,60350,205,3930,9240,15145,31830,56465,35,2045,5810,11805,36775,39215,0,850,3830,7910,26620
  St. Albert CY (4811062) 00000 (  3.0%),5275,400,2295,1560,720,300,9445,70,1240,2300,2835,3000,4145,20,295,655,1065,2115,4455,0,110,425,880,3045,2175,0,50,140,535,1450
  Gibbons T (4811064) 00010 ( 11.9%),280,0,130,70,70,0,420,0,65,80,135,145,195,0,0,35,60,95,230,0,0,20,75,125,100,0,0,0,20,75
  Redwater T (4811065) 00020 ( 23.4%),245,0,125,70,20,25,270,0,35,60,60,110,150,0,0,0,45,90,100,0,0,20,0,70,75,0,0,0,0,75
  Bon Accord T (4811066) 00000 (  3.8%),95,0,40,35,25,0,175,0,20,30,60,65,110,0,0,25,35,35,80,0,0,0,40,35,70,0,0,0,20,45
  Morinville T (4811068) 00000 (  5.9%),765,70,260,280,110,40,1250,0,200,350,315,385,640,0,35,95,185,325,655,0,20,65,195,375,410,0,0,55,90,250
  Legal T (4811069) 00000 (  1.7%),125,30,40,30,15,0,145,0,15,30,30,70,85,0,0,20,25,30,45,0,0,0,0,35,40,0,0,0,20,15
  Cold Lake CY (4812002) 00000 (  5.3%),1570,85,565,590,200,130,2020,25,195,395,655,760,985,0,55,155,270,500,905,0,30,80,235,560,555,0,0,95,165,285
  Bonnyville No. 87 MD (4812004) 00010 ( 13.8%),795,95,330,165,95,100,1620,30,285,345,380,585,615,0,50,120,115,325,690,0,25,80,125,455,515,0,15,65,110,325
  Bonnyville T (4812009) 00010 ( 16.2%),715,0,310,220,115,60,810,0,85,125,285,315,410,0,0,105,80,210,335,0,0,25,55,235,225,0,0,0,55,145
  Bonnyville Beach SV (4812011) 01909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Glendon VL (4812012) 00000 (  6.1%),30,0,25,0,0,0,60,0,0,0,20,35,0,0,0,0,0,0,30,0,0,0,0,0,20,0,0,0,0,0
  Pelican Narrows SV (4812013) 00909 (  6.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  St. Paul County No. 19 MD (4812014) 00010 ( 12.5%),435,30,210,90,55,55,865,0,125,225,230,280,235,0,0,50,50,130,250,0,0,0,40,190,245,0,0,35,45,160
  Elk Point T (4812016) 00000 (  3.4%),215,0,110,55,25,30,195,0,0,40,65,70,75,0,0,0,0,55,70,0,0,0,0,65,30,0,0,0,0,20
  St. Paul T (4812018) 00000 (  3.0%),670,0,320,155,90,100,740,0,100,200,165,270,305,0,0,60,95,140,300,0,0,25,95,165,220,0,0,0,35,180
  Horseshoe Bay SV (4812020) 02939 ( 37.5%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Smoky Lake County MD (4812022) 01020 ( 21.1%),300,10,140,55,55,35,455,0,30,75,115,225,160,0,15,35,30,85,140,0,0,30,25,85,145,0,10,10,40,85
  Vilna VL (4812024) 00919 ( 18.2%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Waskatenau VL (4812026) 01929 ( 20.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Smoky Lake T (4812029) 00000 (  8.4%),185,0,70,50,35,30,140,0,0,25,25,85,60,0,0,0,0,40,15,0,0,0,0,15,25,0,0,0,0,20
  Lac la Biche County SM (4812037) 00010 ( 12.0%),650,85,290,145,85,50,980,0,175,205,240,350,435,0,15,55,135,220,375,0,0,45,35,290,315,0,0,30,80,200
  Improvement District No. 349 ID (4812038) 09999 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Lac Ste. Anne County MD (4813001) 00010 ( 12.5%),955,60,465,185,170,75,1545,20,230,330,400,560,450,0,20,75,85,270,445,0,0,45,90,295,345,0,0,0,80,240
  Mayerthorpe T (4813002) 00000 (  5.5%),135,0,45,35,35,0,240,0,0,65,35,130,70,0,0,20,0,35,40,0,0,0,0,20,20,0,0,0,0,0
  Nakamun Park SV (4813003) 02999 ( 28.6%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Val Quentin SV (4813005) 01919 ( 14.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  West Cove SV (4813006) 01919 ( 12.5%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Yellowstone SV (4813007) 02919 ( 16.7%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Ross Haven SV (4813008) 03939 ( 38.9%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Castle Island SV (4813009) 09999 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Silver Sands SV (4813010) 01919 ( 13.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Sunset Point SV (4813011) 03030 ( 35.5%),0,0,0,0,0,0,65,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Alberta Beach VL (4813012) 01010 ( 15.2%),140,0,65,40,0,20,175,0,15,30,35,90,40,0,0,0,25,0,45,0,0,0,0,40,0,0,0,0,0,0
  Birch Cove SV (4813013) 01909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Onoway T (4813014) 00010 ( 12.5%),90,0,40,20,30,0,145,0,15,45,55,35,50,0,0,0,0,30,40,0,0,0,0,30,40,0,0,0,0,20
  South View SV (4813015) 01929 ( 22.2%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Sandy Beach SV (4813016) 01019 ( 19.4%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Sunrise Beach SV (4813017) 00919 ( 10.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Barrhead County No. 11 MD (4813018) 00000 (  8.8%),390,25,190,80,75,0,705,0,95,175,215,220,185,0,0,30,35,120,205,0,0,25,60,125,225,0,0,20,50,155
  Barrhead T (4813019) 00000 (  6.0%),695,0,320,195,110,70,615,0,30,155,130,300,210,0,0,15,45,150,155,0,0,0,20,125,145,0,0,0,30,115
  Westlock County MD (4813028) 00000 (  9.9%),465,20,245,90,70,40,890,0,150,205,235,295,250,0,20,30,50,145,295,0,0,15,70,195,220,0,0,0,55,150
  Woodlands County MD (4813029) 00010 ( 10.1%),290,40,115,65,40,30,650,0,120,120,210,195,215,0,0,20,50,135,260,0,0,45,70,135,155,0,0,20,35,105
  Whitecourt T (4813030) 00000 (  7.0%),925,45,400,205,185,85,1295,0,190,300,315,480,635,0,80,120,135,300,595,0,0,75,120,400,360,0,0,30,85,235
  Westlock T (4813031) 00000 (  8.0%),785,0,365,145,160,110,735,0,25,215,205,290,270,0,0,30,45,185,165,0,0,0,25,130,150,0,0,0,25,125
  Clyde VL (4813032) 00000 (  9.1%),65,0,25,0,25,0,65,0,0,0,0,35,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0
  Larkspur SV (4813033) 02929 ( 25.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Thorhild County MD (4813036) 01010 ( 17.7%),320,0,160,55,45,50,480,0,35,155,90,200,165,0,0,0,55,105,80,0,0,0,0,60,65,0,0,0,0,45
  Athabasca County MD (4813044) 00010 ( 13.3%),530,35,250,125,60,60,990,0,145,250,230,360,340,0,20,40,60,215,235,0,0,0,45,150,215,0,0,0,45,160
  Mewatha Beach SV (4813045) 02929 ( 26.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Boyle VL (4813046) 00000 (  9.8%),105,0,55,0,30,0,155,0,15,50,45,45,35,0,0,0,0,25,45,0,0,0,0,35,20,0,0,0,0,20
  Sunset Beach SV (4813047) 01909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Athabasca T (4813048) 00010 ( 10.6%),455,30,160,105,70,90,310,0,15,65,70,165,155,0,0,25,35,85,160,0,0,0,25,125,60,0,0,0,0,40
  Island Lake SV (4813049) 02939 ( 33.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Island Lake South SV (4813051) 01929 ( 23.5%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Bondiss SV (4813053) 02929 ( 25.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  South Baptiste SV (4813055) 02919 ( 17.2%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  West Baptiste SV (4813057) 02919 ( 14.3%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Whispering Hills SV (4813061) 01929 ( 23.5%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Yellowhead County MD (4814003) 00000 (  7.0%),885,75,405,190,120,100,1505,0,250,325,380,535,495,0,45,50,135,265,485,0,0,40,70,370,355,0,0,30,95,215
  Hinton T (4814019) 00000 (  4.7%),1040,60,430,250,235,70,1445,0,195,335,395,515,600,0,60,60,145,330,540,0,0,45,130,355,305,0,0,0,95,185
  Edson T (4814024) 00000 (  8.1%),995,40,430,235,190,105,1130,0,175,225,300,415,535,0,30,85,135,280,425,0,25,15,85,305,275,0,0,0,35,230
  Improvement District No. 25 Willmore Wilderness ID (4814028) 09999 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Crowsnest Pass SM (4815007) 00010 ( 12.8%),930,0,425,180,145,160,1185,0,100,285,270,525,285,0,0,30,40,195,255,0,0,0,55,190,80,0,0,0,0,70
  Kananaskis ID (4815013) 02929 ( 28.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Bighorn No. 8 MD (4815015) 00010 ( 11.2%),115,0,40,35,20,0,270,0,45,60,75,90,60,0,0,0,15,35,115,0,0,0,40,75,35,0,0,0,0,20
  Canmore T (4815023) 00010 ( 11.1%),1680,60,700,460,290,175,2795,30,245,695,765,1065,1010,0,65,150,280,515,845,0,20,65,185,575,305,0,25,0,60,210
  Ghost Lake SV (4815027) 00939 ( 30.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Waiparous SV (4815030) 01999 ( 57.1%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Improvement District No. 9 Banff ID (4815032) 00919 ( 14.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
