,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing
Beausejour T (4612056) 00000 (  8.5%),60,60,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,240,235,0,0,0,0,85,85,0,50,50,0,70,70,0,30,30,0
East St. Paul RM (4613032) 00000 (  3.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,0,0,0,25,25,0,30,30,0,0,0,0,0,0,0
West St. Paul RM (4613037) 00000 (  3.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,65,15,15,0,0,25,25,0,25,25,0,0,0,0,0,0,0
St. Andrews RM (4613043) 00000 (  3.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,200,35,30,0,0,60,60,20,55,55,0,40,40,0,30,30,0
Selkirk CY (4613047) 00000 (  4.8%),540,540,225,105,105,90,300,300,110,95,95,20,30,30,0,0,0,0,990,945,180,45,0,0,255,250,135,300,300,30,230,230,0,155,155,0
Dunnottar VL (4613049) 00000 (  9.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0
St. Clements RM (4613056) 00000 (  5.5%),30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,165,40,25,20,15,45,45,25,30,30,0,40,40,0,35,35,0
Rosser RM (4614015) 00001 (  9.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,40,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0
Woodlands RM (4614031) 00000 (  6.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,0,0,0,0,20,20,0,25,25,0,20,20,0,25,25,0
Rockwood RM (4614036) 00000 (  6.3%),35,35,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,115,115,15,0,0,0,35,35,15,20,20,0,25,25,0,25,25,0
Stonewall T (4614039) 00001 (  7.8%),30,30,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,165,160,0,20,0,0,55,55,0,40,40,0,25,25,0,0,0,0
Teulon T (4614042) 00000 (  8.6%),40,40,25,0,0,0,30,30,20,0,0,0,0,0,0,0,0,0,130,125,55,0,0,0,45,45,30,60,60,20,0,0,0,0,0,0
Neepawa T (4615020) 00000 (  8.2%),65,55,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,365,360,0,15,0,0,95,95,0,115,115,0,75,75,0,65,65,0
Oakview RM (4615032) 00000 (  8.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,55,15,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0
Hamiota MU (4615037) 00000 (  2.9%),25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,50,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0
Ellice-Archie RM (4615047) 00000 (  8.0%),20,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,45,45,15,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0
Prairie View MU (4615056) 00000 (  6.9%),40,40,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,30,30,0,15,15,0,0,0,0,25,25,0
Yellowhead RM (4615063) 00000 (  6.4%),40,40,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,115,115,40,0,0,0,40,40,30,30,30,0,0,0,0,25,25,0
Harrison Park MU (4615070) 00011 ( 12.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,25,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0
Minto-Odanah MU (4615074) 00000 (  5.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnedosa T (4615075) 00000 (  6.3%),50,50,0,0,0,0,20,20,0,15,15,0,0,0,0,0,0,0,210,210,30,15,15,15,65,65,0,65,65,0,35,35,0,30,30,0
Rosedale RM (4615078) 00111 ( 16.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0
Clanwilliam-Erickson MU (4615092) 00011 ( 12.6%),35,35,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rossburn MU (4616005) 00001 (  9.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,40,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
Riding Mountain West RM (4616020) 00101 (  9.9%),35,35,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,20,20,0,0,0,0,0,0,0,20,20,0
Russell-Binscarth MU (4616030) 00000 (  7.4%),50,50,20,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,150,145,50,0,0,0,45,40,25,0,0,0,50,50,0,35,35,0
Hillsburg-Roblin-Shell River MU (4616048) 00001 (  9.4%),85,85,30,0,0,0,45,45,25,20,20,0,0,0,0,0,0,0,225,220,25,0,0,0,80,80,25,50,50,0,35,35,0,55,55,0
Alonsa RM (4617026) 00001 (  8.3%),45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,40,0,0,0,0,0,0,20,20,0,0,0,0,25,25,0
McCreary MU (4617035) 00011 ( 14.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,45,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
Ste. Rose MU (4617041) 00111 ( 11.1%),80,75,20,0,0,0,65,65,20,0,0,0,0,0,0,0,0,0,105,105,35,0,0,0,35,35,25,15,15,0,25,25,0,20,20,0
Dauphin RM (4617048) 00000 (  7.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,30,0,0,0,35,35,0,25,25,0,0,0,0,0,0,0
Dauphin CY (4617050) 00000 (  5.7%),295,285,75,45,40,40,135,135,20,80,80,0,20,20,0,0,0,0,1035,1005,85,45,0,0,260,260,45,280,280,25,195,195,0,260,260,0
Gilbert Plains MU (4617054) 00000 (  7.3%),30,30,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,70,70,30,0,0,0,40,40,0,15,15,15,0,0,0,15,15,0
Grandview MU (4617058) 00000 (  9.2%),30,30,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,70,65,25,0,0,0,20,20,0,15,15,0,0,0,0,20,20,0
Ethelbert MU (4617064) 00001 (  9.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mossey River RM (4617072) 00000 (  5.6%),35,30,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0
Lakeshore RM (4617075) 00000 (  8.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,50,20,0,0,0,15,15,0,0,0,0,0,0,0,20,20,0
Gimli RM (4618031) 00011 ( 10.9%),90,85,45,45,35,20,25,25,20,0,0,0,0,0,0,0,0,0,390,370,150,25,0,0,130,130,90,115,115,40,55,55,0,60,60,0
Winnipeg Beach T (4618034) 00000 (  7.7%),30,30,15,0,0,0,20,20,15,0,0,0,0,0,0,0,0,0,50,40,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armstrong RM (4618037) 00011 ( 15.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Laurent RM (4618040) 00111 ( 11.9%),25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coldwell RM (4618044) 00011 ( 11.1%),30,30,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,65,65,30,0,0,0,30,30,20,0,0,0,0,0,0,15,15,0
West Interlake MU (4618056) 00011 ( 13.0%),70,70,20,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,155,145,45,0,0,0,40,40,25,50,50,15,20,20,0,35,35,0
Grahamdale RM (4618060) 00001 (  7.3%),10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,20,0,0,0,0,0,0,20,20,15,0,0,0,10,10,0
Fisher RM (4618068) 00011 ( 10.9%),40,40,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,70,65,30,0,0,0,20,20,0,0,0,0,25,25,0,20,20,0
Arborg T (4618074) 00000 (  7.5%),35,35,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,115,115,45,0,0,0,30,30,15,40,40,15,30,30,0,15,15,0
Bifrost-Riverton MU (4618076) 00001 (  9.3%),30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160,30,0,0,0,60,60,20,25,25,0,40,40,0,25,25,0
"Division No. 19, Unorganized NO (4619045) 00112 ( 19.6%)",185,185,75,0,0,0,65,65,35,30,30,0,65,65,20,20,20,0,135,135,25,0,0,0,35,35,0,0,0,0,20,20,0,55,55,0
Mountain (South) RM (4620032) 01111 ( 18.2%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swan Valley West MU (4620042) 00000 (  8.7%),25,25,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,30,30,0,0,0,0,0,0,0,35,35,0
Swan River T (4620048) 00011 ( 10.1%),255,245,65,25,15,15,135,135,35,45,45,0,20,20,0,35,35,0,450,435,70,25,0,0,120,120,60,110,110,0,80,80,0,120,120,0
Minitonas-Bowsman MU (4620051) 00011 ( 12.4%),45,45,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,65,65,30,0,0,0,0,0,0,20,20,0,25,25,0,0,0,0
Mountain (North) RM (4620055) 01111 ( 15.1%),25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,25,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
Grand Rapids T (4621025) 00001 (  9.6%),40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pas T (4621045) 00111 ( 14.4%),220,210,50,40,30,20,100,100,25,55,55,0,0,0,0,0,0,0,590,570,65,45,25,20,150,150,40,160,160,0,125,125,0,105,105,0
Kelsey RM (4621052) 01211 ( 15.5%),70,70,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flin Flon (Part) CY (4621064) 00001 (  9.2%),135,135,15,0,0,0,80,80,0,20,20,0,0,0,0,0,0,0,450,450,95,40,40,40,180,180,55,90,90,0,60,60,0,80,80,0
Snow Lake T (4621071) 00000 (  8.3%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,25,0,0,0,20,20,20,0,0,0,20,20,0,40,40,0
"Division No. 21, Unorganized NO (4621078) 00101 (  9.3%)",35,35,25,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,50,50,20,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0
Thompson CY (4622026) 00111 ( 10.4%),345,325,80,80,60,35,150,150,40,70,70,0,25,25,0,20,20,0,1890,1835,320,110,60,50,525,525,255,465,465,0,435,435,0,360,360,0
"Division No. 22, Unorganized NO (4622046) 00101 (  8.6%)",135,135,35,25,25,25,45,45,10,20,20,0,15,15,0,30,30,0,135,135,35,20,20,20,25,25,15,20,20,0,25,25,0,40,40,0
Gillam T (4623022) 00011 ( 11.8%),265,260,10,15,0,0,25,25,0,45,45,0,95,95,0,85,85,0,105,105,30,0,0,0,30,30,25,0,0,0,40,40,0,30,30,0
Leaf Rapids T (4623034) 01233 ( 33.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,30,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0
Lynn Lake T (4623047) 01133 ( 36.0%),40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churchill T (4623056) 00111 ( 13.0%),235,235,60,0,0,0,55,55,20,50,50,0,60,60,0,45,45,0,110,110,25,0,0,0,0,0,0,20,20,0,20,20,0,50,50,0
"Division No. 23, Unorganized NO (4623062) 04333 ( 37.5%)",45,45,25,0,0,0,10,10,10,10,10,0,15,15,0,15,15,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Brunswick (13) 00000 (  4.9%),11345,10915,3560,2565,2225,1370,5420,5340,1940,2135,2125,240,805,800,0,420,420,0,67430,64880,13255,4795,2595,2235,19695,19395,9710,18030,17975,1255,14295,14285,65,10620,10620,0
Saint Martins P (1301001) 00000 (  0.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simonds P (1301004) 00000 (  2.0%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,145,15,0,0,0,60,60,0,35,35,0,20,20,0,30,30,0
Saint John C (1301006) 00000 (  6.1%),2040,1990,695,530,480,265,985,985,380,395,395,50,90,90,0,40,40,0,11235,10815,2185,825,445,395,2835,2805,1600,2790,2785,185,2555,2550,0,2225,2225,0
Musquash P (1301016) 00000 (  3.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campobello Island RCR (1302004) 00001 (  9.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Isles P (1302006) 00100 (  5.4%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,65,0,0,0,0,20,0,0,25,25,0,0,0,0,0,0,0
Lepreau P (1302008) 00001 (  8.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,20,0,0,0,25,25,15,0,0,0,0,0,0,0,0,0
Pennfield P (1302011) 00000 (  4.8%),20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,25,0,0,0,35,35,15,30,30,0,20,20,0,35,35,0
Blacks Harbour VL (1302012) 00000 (  4.0%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,25,0,0,0,0,0,0,15,15,0,35,35,0,0,0,0
Saint George P (1302016) 00000 (  6.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0
St. George TV (1302018) 00000 (  4.4%),50,50,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,115,105,35,0,0,0,25,25,25,25,25,0,20,20,0,25,25,0
Saint Patrick P (1302021) 00001 (  7.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Andrews P (1302024) 00000 (  6.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Andrews TV (1302026) 00000 (  4.7%),35,35,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,175,170,65,0,0,0,75,75,55,40,40,0,40,40,0,0,0,0
Saint Croix P (1302028) 00000 (  7.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dufferin P (1302031) 00000 (  4.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Stephen P (1302034) 00000 (  3.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,35,0,0,0,35,30,0,25,25,0,0,0,0,0,0,0
St. Stephen TV (1302037) 00000 (  5.2%),110,110,30,0,0,0,60,60,20,20,20,0,0,0,0,0,0,0,615,580,120,50,30,30,185,175,80,165,165,0,110,110,0,105,105,0
Saint James P (1302039) 00000 (  8.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint David P (1302042) 00000 (  6.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,30,0,0,0,25,25,20,0,0,0,15,15,0,20,20,0
Dumbarton P (1302044) 00001 (  9.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Manan VL (1302052) 00000 (  1.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,160,45,0,0,0,50,50,35,35,35,0,35,35,0,35,35,0
Blissville P (1303001) 00000 (  4.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gladstone P (1303004) 00000 (  7.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tracy VL (1303005) 00000 (  2.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fredericton Junction VL (1303006) 00000 (  6.3%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,15,0,0,0,25,25,15,0,0,0,0,0,0,0,0,0
Lincoln P (1303008) 00000 (  4.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,220,40,0,0,0,85,85,35,50,50,0,50,50,0,25,25,0
Burton P (1303011) 00000 (  3.0%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,20,0,0,0,40,40,20,30,30,0,15,15,0,0,0,0
Oromocto TV (1303012) 00100 (  4.3%),315,315,15,0,0,0,50,50,0,70,70,0,135,135,0,55,55,0,1420,1405,110,55,40,35,180,180,75,345,345,0,540,540,0,305,305,0
Sheffield P (1303014) 00000 (  7.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maugerville P (1303016) 00000 (  5.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0
Northfield P (1303018) 00000 (  5.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersville P (1304001) 00000 (  5.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gagetown P (1304004) 00000 (  2.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gagetown VL (1304005) 00000 (  5.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hampstead P (1304006) 00000 (  6.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wickham P (1304008) 00000 (  3.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge P (1304011) 00000 (  3.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge-Narrows VL (1304013) 00000 (  2.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnston P (1304014) 00011 ( 11.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waterborough P (1304018) 00000 (  5.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canning P (1304021) 00001 (  9.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minto VL (1304022) 00000 (  5.8%),35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,195,70,20,20,20,45,45,30,50,50,0,45,45,0,30,30,0
Chipman P (1304024) 00000 (  3.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chipman VL (1304025) 00000 (  6.6%),20,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,85,85,40,0,0,0,30,30,20,0,0,0,20,20,0,0,0,0
Upham P (1305004) 00000 (  5.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hampton P (1305006) 00000 (  3.5%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,20,20,0,20,20,0,0,0,0,20,20,0
Hampton TV (1305007) 00000 (  6.0%),35,35,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,145,135,40,25,0,0,60,60,30,40,40,0,15,15,0,0,0,0
Rothesay P (1305008) 00000 (  2.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Westfield P (1305011) 00010 ( 10.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingston P (1305014) 00000 (  3.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,70,0,0,0,0,20,20,0,0,0,0,15,15,0,15,15,0
Grand Bay-Westfield TV (1305015) 00000 (  5.7%),30,30,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,145,130,30,0,0,0,75,75,30,35,35,0,0,0,0,0,0,0
Norton P (1305016) 00000 (  4.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norton VL (1305018) 00000 (  2.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,25,25,0,15,15,0,0,0,0
Sussex P (1305021) 00000 (  4.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,15,0,0,0,30,30,15,50,50,0,0,0,0,0,0,0
Sussex TV (1305022) 00000 (  5.9%),140,125,45,25,20,0,80,75,30,30,25,0,0,0,0,0,0,0,680,665,180,40,25,25,205,205,145,150,150,0,165,165,0,120,120,0
Sussex Corner VL (1305023) 00000 (  5.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,35,0,0,0,40,40,25,20,20,0,30,30,0,0,0,0
Waterford P (1305024) 00000 (  4.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardwell P (1305026) 00000 (  2.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0
Havelock P (1305028) 00000 (  4.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,35,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0
Studholm P (1305031) 00000 (  4.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,145,15,0,0,0,40,40,15,30,30,0,45,45,0,25,25,0
Springfield P (1305034) 00000 (  4.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,55,15,0,0,0,25,25,15,0,0,0,0,0,0,20,20,0
Kars P (1305036) 00011 ( 12.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenwich P (1305038) 00000 (  4.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rothesay TV (1305045) 00000 (  1.5%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,775,190,100,70,70,395,390,120,155,155,0,95,95,0,60,60,0
Quispamsis TV (1305057) 00000 (  2.9%),60,60,25,35,35,25,15,15,0,0,0,0,0,0,0,0,0,0,420,410,55,55,50,30,170,170,20,110,110,0,45,45,0,45,45,0
Hopewell P (1306001) 00000 (  0.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverside-Albert VL (1306003) 00000 (  1.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey P (1306004) 00000 (  3.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elgin P (1306008) 00000 (  4.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hillsborough P (1306011) 00000 (  6.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coverdale P (1306014) 00000 (  2.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,40,40,0,25,25,0,35,35,0,0,0,0
Riverview TV (1306020) 00000 (  3.2%),105,90,20,0,0,0,55,45,0,30,30,0,0,0,0,0,0,0,1785,1690,250,40,15,15,630,570,225,500,485,0,410,410,0,210,210,0
Hillsborough VL (1306025) 00000 (  1.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,120,40,30,20,20,40,40,20,35,35,0,25,25,0,0,0,0
Westmorland P (1307001) 00000 (  2.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
